"ID","entity","type","alias","otherAlias"
"1","上海智臻智能网络科技股份有限公司","公司","智臻智能",
"2","上海玻森数据科技有限公司","公司","玻森数据",
"3","上海氪信信息技术有限公司","公司","氪信",
"4","上海盒马网络科技有限公司","公司","盒马",
"5","上海依图网络科技有限公司","公司","依图",
"6","上海禾赛科技有限公司","公司","禾赛科技",
"7","上海联影医疗科技股份有限公司","公司","联影医疗",
"8","东方网力科技股份有限公司","公司","东方网力",
"9","中科寒武纪科技股份有限公司","公司","中科",
"10","中科视拓（北京）科技有限公司","公司","中科视拓",
"11","中译语通科技股份有限公司","公司","中译语通",
"12","云从科技集团股份有限公司","公司","云从科技",
"13","云知声智能科技股份有限公司","公司","云知声",
"14","亚马逊信息服务（北京）有限公司","公司","亚马逊",
"15","京东科技控股股份有限公司","公司","京东科技",
"16","众安信息技术服务有限公司","公司","众安",
"17","佳都科技集团股份有限公司","公司","佳都科技",
"18","出门问问（武汉）信息科技有限公司","公司","出门问问",
"19","北京中星微电子有限公司","公司","中星",
"20","北京中科奥森数据科技有限公司","公司","中科奥森",
"21","北京中科虹霸科技有限公司","公司","中科虹霸",
"22","北京初速度科技有限公司","公司","初速度",
"23","北京四维图新科技股份有限公司","公司","四维图新",
"24","北京图森未来科技有限公司","公司","图森未来",
"25","北京地平线机器人技术研发有限公司","公司","地平线",
"26","北京声智科技有限公司","公司","声智科技",
"27","北京字节跳动科技有限公司","公司","字节跳动",
"28","北京捷通华声科技股份有限公司","公司","捷通华声",
"29","北京旷视科技有限公司","公司","旷视科技",
"30","北京明略软件系统有限公司","公司","明略",
"31","北京智齿博创科技有限公司","公司","智齿博创",
"32","北京格灵深瞳信息技术股份有限公司","公司","格灵深瞳",
"33","北京深醒科技有限公司","公司","深醒科技",
"34","北京百度网讯科技有限公司","公司","百度网讯",
"35","北京盛开智联科技有限公司","公司","盛开智联",
"36","北京神州泰岳软件股份有限公司","公司","神州泰岳",
"37","北京第四范式智能技术股份有限公司","公司","第四范式",
"38","北京聚力维度科技有限公司","公司","聚力维度",
"39","北京虹安翔宇信息科技有限公司","公司","虹安翔宇",
"40","北京融世纪信息技术有限公司","公司","融世纪",
"41","北京诺亦腾科技有限公司","公司","诺亦腾",
"42","北京金山云网络技术有限公司","公司","金山云",
"43","北京鲸海科技发展有限公司","公司","鲸海科技",
"44","北京鹰瞳科技发展股份有限公司","公司","鹰瞳科技",
"45","医渡云（北京）技术有限公司","公司","医渡云",
"46","南京科远智慧科技集团股份有限公司","公司","科远智慧",
"47","厦门市美亚柏科信息股份有限公司","公司","美亚柏科",
"48","四川川大智胜软件股份有限公司","公司","川大智胜",
"49","国际商业机器（中国）有限公司","公司","国际商业",
"50","宁波慈星股份有限公司","公司","慈星股份",
"51","平安科技（深圳）有限公司","公司","科技",
"52","广州图普网络科技有限公司","公司","图普",
"53","广州广电运通金融电子股份有限公司","公司","广电运通",
"54","遨博（北京）智能科技有限公司","公司","遨博智能",
"55","锐达互动科技股份有限公司","公司","锐达互动",
"56","长沙景嘉微电子股份有限公司","公司","景嘉",
"57","阿里巴巴（中国）网络技术有限公司","公司","阿里巴巴",
"58","驭势科技（北京）有限公司","公司","驭势科技",
"59","鼎复数据科技（北京）有限公司","公司","鼎复数据",
"113","广州文远知行科技有限公司","公司","文远知行",
"114","度小满科技（北京）有限公司","公司","度小满",
"115","微软（中国）有限公司","公司","微软",
"116","思必驰科技股份有限公司","公司","思必驰",
"117","慧影医疗科技（北京）股份有限公司","公司","慧影医疗",
"118","推想医疗科技股份有限公司","公司","推想医疗",
"119","普强时代（珠海横琴）信息技术有限公司","公司","普强时代",
"120","成都华微电子科技股份有限公司","公司","华微电子",
"121","杭州健培科技有限公司","公司","健培科技",
"122","智器云南京信息科技有限公司","公司","智器云南",
"123","武汉华中数控股份有限公司","公司","华中数控",
"124","杭州海康威视数字技术股份有限公司","公司","海康威视",
"125","武汉烽火普天信息技术有限公司","公司","烽火普天",
"126","汉王科技股份有限公司","公司","汉王",
"127","沈阳新松机器人自动化股份有限公司","公司","新松",
"128","济南翼菲自动化科技有限公司","公司","翼菲",
"129","浙江万安科技股份有限公司","公司","万安",
"130","浙江大华技术股份有限公司","公司","大华技术",
"131","浙江宇视科技有限公司","公司","宇视科技",
"132","深之蓝海洋科技股份有限公司","公司","深之蓝海",
"133","深圳云天励飞技术股份有限公司","公司","云天励飞",
"134","深圳佑驾创新科技有限公司","公司","佑驾创新",
"326","深圳华大基因股份有限公司","公司","华大基因",
"327","深圳市商汤科技有限公司","公司","商汤科技",
"328","深圳市大疆创新科技有限公司","公司","大疆创新",
"329","深圳市深网视界科技有限公司","公司","深网视界",
"330","深圳市科葩信息技术有限公司","公司","科葩",
"331","深圳市腾讯计算机系统有限公司","公司","腾讯",
"332","深圳市镭神智能系统有限公司","公司","镭神智能",
"333","深圳星桥数据技术有限公司","公司","星桥数据",
"334","深圳碳云智能集团有限公司","公司","碳云智能",
"335","湖北京山轻工机械股份有限公司","公司","京山轻工",
"336","科大讯飞股份有限公司","公司","科大讯飞",
"337","竹间智能科技（上海）有限公司","公司","竹间智能",
"338","纵目科技（上海）股份有限公司","公司","纵目",
"339","英伟达半导体科技（上海）有限公司","公司","英伟达",
"340","英特尔（中国）有限公司","公司","英特尔",
"341","荣科科技股份有限公司","公司","荣科",
"445","谷歌信息技术（中国）有限公司","公司","谷歌",
"446","蚂蚁科技集团股份有限公司","公司","蚂蚁科技",
"447","赛灵思电子科技（上海）有限公司","公司","赛灵思",
